transition,time_window_notes,duration_low_myr,duration_high_myr,ne_low,ne_high,gen_time_low_yr,gen_time_high_yr,generations_low,generations_high,esp_low,esp_high,log10_esp_low,log10_esp_high
Origin of life (chemistry to biology),~4.0-3.5 Ga,200,500,1e+07,1e+09,0.001,0.01,2.000e+10,5.000e+11,2.000e+17,5.000e+20,17.30,20.70
Chromosomes (free genes to linked genes),~3.8-3.4 Ga,100,300,1e+08,1e+09,0.001,0.01,1.000e+10,3.000e+11,1.000e+18,3.000e+20,18.00,20.48
Genetic code (RNA to DNA/protein),~3.8-3.3 Ga,100,300,1e+08,1e+09,0.001,0.01,1.000e+10,3.000e+11,1.000e+18,3.000e+20,18.00,20.48
Eukaryotes (endosymbiosis),~2.0-1.5 Ga,300,800,1e+06,1e+07,0.01,0.1,3.000e+09,8.000e+10,3.000e+15,8.000e+17,15.48,17.90
Sex (asexual to sexual),~1.8-1.2 Ga,200,700,1e+06,1e+07,0.01,0.1,2.000e+09,7.000e+10,2.000e+15,7.000e+17,15.30,17.85
Multicellularity (unicellular to multicellular),~1.0-0.6 Ga,200,500,1e+06,1e+07,0.1,1.0,2.000e+08,5.000e+09,2.000e+14,5.000e+16,14.30,16.70
Eusociality (solitary to social),~150-100 Ma,20,100,1e+06,1e+07,0.1,0.5,4.000e+07,1.000e+09,4.000e+13,1.000e+16,13.60,16.00
Language (primate to human),~0.2-0.05 Ma,0.05,0.2,1e+04,1e+05,15,25,2.000e+03,1.333e+04,2.000e+07,1.333e+09,7.30,9.12
