program,period_start,period_end,crosses_per_year,years,progeny_per_cross,selection_cycles,released_varieties,data_quality,sources,notes,total_crosses,total_experiments,esp_breeding,log10_esp_breeding
CIMMYT wheat,1966,2000,6500,34,200,6,480,4,Evenson & Gollin 2003; CIMMYT annual reports,Crosses per year and progeny per cross are period averages from C1 compilation.,221000,265200000,552500.0,5.7423322823571485
CIMMYT maize,1966,2000,4000,34,50,5,350,4,Duvick 2005; CIMMYT reports,Crosses per year and progeny per cross are period averages from C1 compilation.,136000,34000000,97142.85714285714,4.98741087269198
