domain,breakpoint,left_intercept,left_slope,right_intercept,right_slope,aic,bic
Breeding,1985.0,593.9198847070752,-0.2968003091929151,-42.710720271530136,0.02381185040444604,-10.28274025542727,-11.115702378515051
Evolution,-199998049.99999997,14.713520962499938,-1.075000000000026e-08,10.768715877521222,-4.418132101816849e-08,17.25051525821384,17.568281424933183
Medicine,2017.0,-178.88557897512914,0.08983128885414371,-251.78884615112125,0.12514276397490234,-33.790130340383136,-25.28159280020277
Protein engineering,2025.0,-1749.7893819950482,0.8658498350053493,-6963.697918137487,3.439140137284051,20.87833798782582,23.13813541767197
